support,itemsets
0.2246881581078892,frozenset({'181'})
0.21027053296614287,frozenset({'51'})
0.21027053296614287,"frozenset({'51', '181'})"
0.20784059614450023,frozenset({'TO240'})
0.20784059614450023,"frozenset({'51', '181', 'TO240'})"
0.20784059614450023,"frozenset({'51', 'TO240'})"
0.20784059614450023,"frozenset({'181', 'TO240'})"
0.1555159565851288,frozenset({'459DE'})
0.1555159565851288,"frozenset({'459DE', '181'})"
0.1542199902802527,frozenset({'226DE'})
0.14109833144338246,"frozenset({'459DE', '51', '181'})"
0.14109833144338246,"frozenset({'459DE', '51'})"
0.13866839462173983,"frozenset({'459DE', '51', 'TO240'})"
0.13866839462173983,"frozenset({'459DE', '181', 'TO240'})"
0.13866839462173983,"frozenset({'459DE', 'TO240'})"
0.13866839462173983,"frozenset({'459DE', '51', '181', 'TO240'})"
0.1310545925805929,"frozenset({'226DE', 'STL107'})"
0.1310545925805929,frozenset({'STL107'})
0.10108537178033371,frozenset({'TO240DE'})
0.09865543495869107,frozenset({'447DE'})
0.08893568767212053,frozenset({'STL55'})
0.08893568767212053,"frozenset({'STL55', '447DE'})"
0.07710999514012636,frozenset({'STL434DE'})
0.06917220152276041,"frozenset({'TO240', '278DE'})"
0.06917220152276041,"frozenset({'51', '181', 'TO240', '278DE'})"
0.06917220152276041,frozenset({'278DE'})
0.06917220152276041,"frozenset({'51', 'TO240', '278DE'})"
0.06917220152276041,"frozenset({'181', 'TO240', '278DE'})"
0.06917220152276041,"frozenset({'51', '181', '278DE'})"
0.06917220152276041,"frozenset({'51', '278DE'})"
0.06917220152276041,"frozenset({'181', '278DE'})"
0.06220638263405152,frozenset({'TO55DE'})
0.04633079539931962,frozenset({'TO278DE'})
0.04616879961121011,frozenset({'STL415DE'})
0.031427182893244775,frozenset({'STL287DE'})
0.028187267131054593,frozenset({'STL51DE'})
0.025109347156973917,frozenset({'STL416DE'})
0.02316539769965981,frozenset({'STL403'})
0.02316539769965981,"frozenset({'STL403', '226DE'})"
0.020573465089907664,"frozenset({'STL454', '433DE'})"
0.020573465089907664,frozenset({'433DE'})
0.020573465089907664,frozenset({'STL454'})
0.018143528268265024,frozenset({'STL181DE'})
0.014417625141746314,"frozenset({'459DE', 'STL51'})"
0.014417625141746314,"frozenset({'STL51', '181'})"
0.014417625141746314,"frozenset({'459DE', 'STL51', '181'})"
0.014417625141746314,frozenset({'STL51'})
0.013445650413089259,"frozenset({'TO107', '403DE'})"
0.013445650413089259,frozenset({'403DE'})
0.013445650413089259,frozenset({'TO107'})
0.012635671472541713,frozenset({'STL500DE'})
