antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'526', '525', '537EN'})",frozenset({'STL539'}),0.1251246971640302,0.42240273621205643,0.1251246971640302,1.0,2.367408906882591,0.07227168271423892,inf,0.660205245153934
"frozenset({'STL539', '526', '537EN'})",frozenset({'525'}),0.1251246971640302,0.1251246971640302,0.1251246971640302,1.0,7.992027334851937,0.10946850732363994,inf,1.0
"frozenset({'526', '525', 'STL539'})",frozenset({'537EN'}),0.1251246971640302,0.18170158187259514,0.1251246971640302,1.0,5.503529411764705,0.10238934175799651,inf,0.9353314872129012
"frozenset({'526', '537EN'})","frozenset({'525', 'STL539'})",0.1251246971640302,0.1251246971640302,0.1251246971640302,1.0,7.992027334851937,0.10946850732363994,inf,1.0
"frozenset({'525', '537EN'})","frozenset({'526', 'STL539'})",0.1251246971640302,0.1251246971640302,0.1251246971640302,1.0,7.992027334851937,0.10946850732363994,inf,1.0
"frozenset({'526', '525'})","frozenset({'STL539', '537EN'})",0.1251246971640302,0.18170158187259514,0.1251246971640302,1.0,5.503529411764705,0.10238934175799651,inf,0.9353314872129012
"frozenset({'526', 'STL539'})","frozenset({'525', '537EN'})",0.1251246971640302,0.1251246971640302,0.1251246971640302,1.0,7.992027334851937,0.10946850732363994,inf,1.0
"frozenset({'525', 'STL539'})","frozenset({'526', '537EN'})",0.1251246971640302,0.1251246971640302,0.1251246971640302,1.0,7.992027334851937,0.10946850732363994,inf,1.0
frozenset({'526'}),"frozenset({'STL539', '525', '537EN'})",0.1251246971640302,0.1251246971640302,0.1251246971640302,1.0,7.992027334851937,0.10946850732363994,inf,1.0
frozenset({'525'}),"frozenset({'STL539', '526', '537EN'})",0.1251246971640302,0.1251246971640302,0.1251246971640302,1.0,7.992027334851937,0.10946850732363994,inf,1.0
frozenset({'STL543'}),frozenset({'490DE'}),0.0523015533703862,0.2059284594556078,0.0523015533703862,1.0,4.856055363321799,0.04153117505768732,inf,0.8378947368421052
frozenset({'543'}),frozenset({'STL644'}),0.029927319367250963,0.029927319367250963,0.029927319367250963,1.0,33.41428571428571,0.02903167492274153,inf,1.0000000000000002
frozenset({'STL644'}),frozenset({'543'}),0.029927319367250963,0.029927319367250963,0.029927319367250963,1.0,33.41428571428571,0.02903167492274153,inf,1.0000000000000002
"frozenset({'STL526', '539'})",frozenset({'537DE'}),0.029927319367250963,0.2706284737067123,0.029927319367250963,1.0,3.6951026856240126,0.021828134604758506,inf,0.7518730718378142
"frozenset({'STL526', '537DE'})",frozenset({'539'}),0.029927319367250963,0.029927319367250963,0.029927319367250963,1.0,33.41428571428571,0.02903167492274153,inf,1.0000000000000002
"frozenset({'539', '537DE'})",frozenset({'STL526'}),0.029927319367250963,0.029927319367250963,0.029927319367250963,1.0,33.41428571428571,0.02903167492274153,inf,1.0000000000000002
frozenset({'STL526'}),"frozenset({'539', '537DE'})",0.029927319367250963,0.029927319367250963,0.029927319367250963,1.0,33.41428571428571,0.02903167492274153,inf,1.0000000000000002
frozenset({'539'}),"frozenset({'STL526', '537DE'})",0.029927319367250963,0.029927319367250963,0.029927319367250963,1.0,33.41428571428571,0.02903167492274153,inf,1.0000000000000002
"frozenset({'STL644', '543'})",frozenset({'490EN'}),0.029927319367250963,0.029927319367250963,0.029927319367250963,1.0,33.41428571428571,0.02903167492274153,inf,1.0000000000000002
"frozenset({'543', '490EN'})",frozenset({'STL644'}),0.029927319367250963,0.029927319367250963,0.029927319367250963,1.0,33.41428571428571,0.02903167492274153,inf,1.0000000000000002
"frozenset({'STL644', '490EN'})",frozenset({'543'}),0.029927319367250963,0.029927319367250963,0.029927319367250963,1.0,33.41428571428571,0.02903167492274153,inf,1.0000000000000002
frozenset({'543'}),"frozenset({'STL644', '490EN'})",0.029927319367250963,0.029927319367250963,0.029927319367250963,1.0,33.41428571428571,0.02903167492274153,inf,1.0000000000000002
frozenset({'STL644'}),"frozenset({'543', '490EN'})",0.029927319367250963,0.029927319367250963,0.029927319367250963,1.0,33.41428571428571,0.02903167492274153,inf,1.0000000000000002
frozenset({'490EN'}),"frozenset({'STL644', '543'})",0.029927319367250963,0.029927319367250963,0.029927319367250963,1.0,33.41428571428571,0.02903167492274153,inf,1.0000000000000002
frozenset({'STL526'}),frozenset({'539'}),0.029927319367250963,0.029927319367250963,0.029927319367250963,1.0,33.41428571428571,0.02903167492274153,inf,1.0000000000000002
