support,itemsets
0.42240273621205643,frozenset({'STL539'})
0.2706284737067123,frozenset({'537DE'})
0.24070115433946132,"frozenset({'STL539', '537DE'})"
0.2331480689753456,frozenset({'TO539DE'})
0.2059284594556078,frozenset({'490DE'})
0.18170158187259514,"frozenset({'537EN', 'STL539'})"
0.18170158187259514,frozenset({'537EN'})
0.15362690608522162,frozenset({'STL512'})
0.15362690608522162,"frozenset({'STL512', '490DE'})"
0.1251246971640302,"frozenset({'526', '525', 'STL539'})"
0.1251246971640302,"frozenset({'526', '525', '537EN'})"
0.1251246971640302,"frozenset({'526', '525'})"
0.1251246971640302,"frozenset({'537EN', '525', 'STL539'})"
0.1251246971640302,"frozenset({'526', 'STL539'})"
0.1251246971640302,"frozenset({'526', '537EN'})"
0.1251246971640302,"frozenset({'525', 'STL539'})"
0.1251246971640302,"frozenset({'537EN', '526', 'STL539'})"
0.1251246971640302,"frozenset({'525', '537EN'})"
0.1251246971640302,"frozenset({'537EN', '526', '525', 'STL539'})"
0.1251246971640302,frozenset({'525'})
0.1251246971640302,frozenset({'526'})
0.0523015533703862,"frozenset({'STL543', '490DE'})"
0.0523015533703862,frozenset({'STL543'})
0.034202650705429674,frozenset({'TO512DE'})
0.029927319367250963,frozenset({'490EN'})
0.029927319367250963,"frozenset({'543', 'STL644'})"
0.029927319367250963,"frozenset({'STL526', '539', '537DE'})"
0.029927319367250963,frozenset({'539'})
0.029927319367250963,frozenset({'543'})
0.029927319367250963,"frozenset({'543', 'STL644', '490EN'})"
0.029927319367250963,frozenset({'STL526'})
0.029927319367250963,"frozenset({'STL526', '539'})"
0.029927319367250963,"frozenset({'543', '490EN'})"
0.029927319367250963,"frozenset({'STL526', '537DE'})"
0.029927319367250963,"frozenset({'539', '537DE'})"
0.029927319367250963,frozenset({'STL644'})
0.029927319367250963,"frozenset({'STL644', '490EN'})"
0.010545817300840815,frozenset({'STL775EN'})
