support,itemsets
0.660092807424594,frozenset({'492EN'})
0.660092807424594,frozenset({'STL535'})
0.660092807424594,"frozenset({'492EN', 'STL535'})"
0.1554524361948956,frozenset({'TO535EN'})
0.07946635730858469,frozenset({'AU460EN'})
0.042923433874709975,frozenset({'STL646DE'})
0.01740139211136891,frozenset({'426EN'})
0.01740139211136891,frozenset({'STL541'})
0.01740139211136891,"frozenset({'426EN', 'STL541'})"
0.016241299303944315,frozenset({'STL309DE'})
0.01160092807424594,frozenset({'STL541EN'})
